ConfiguracionClientes,Repeticion,ID_Hilo,TipoOperacion,TiempoRespuesta (Nano Sec),Exitoso
150,1,Bot_0,LOGIN,2628300,true
150,1,Bot_0,HIT,86382700,true
150,1,Bot_0,HIT,617000,true
150,1,Bot_0,HIT,8908100,true
150,1,Bot_0,HIT,9484600,true
150,1,Bot_0,HIT,19393600,true
150,1,Bot_0,HIT,8764800,true
150,1,Bot_0,HIT,7903000,true
150,1,Bot_0,HIT,14932800,true
150,1,Bot_0,HIT,5472800,true
150,1,Bot_0,HIT,4008600,true
150,1,Bot_1,LOGIN,3153200,true
150,1,Bot_1,HIT,88976600,true
150,1,Bot_1,HIT,8756300,true
150,1,Bot_1,HIT,5062200,true
150,1,Bot_1,HIT,17834800,true
150,1,Bot_1,HIT,8839400,true
150,1,Bot_1,HIT,9323100,true
150,1,Bot_1,HIT,16033700,true
150,1,Bot_1,HIT,6987300,true
150,1,Bot_1,HIT,555300,true
150,1,Bot_1,HIT,10687600,true
150,1,Bot_2,LOGIN,3238000,true
150,1,Bot_2,HIT,83716300,true
150,1,Bot_2,HIT,7912300,true
150,1,Bot_2,HIT,12516200,true
150,1,Bot_2,HIT,10423700,true
150,1,Bot_2,HIT,9703500,true
150,1,Bot_2,HIT,8544800,true
150,1,Bot_2,HIT,7960100,true
150,1,Bot_2,HIT,16030800,true
150,1,Bot_2,HIT,5812900,true
150,1,Bot_2,HIT,11219200,true
150,1,Bot_3,LOGIN,2245000,true
150,1,Bot_3,HIT,90886700,true
150,1,Bot_3,HIT,8848000,true
150,1,Bot_3,HIT,345500,true
150,1,Bot_3,HIT,8782200,true
150,1,Bot_3,HIT,19066800,true
150,1,Bot_3,HIT,602200,true
150,1,Bot_3,HIT,16685300,true
150,1,Bot_3,HIT,13758700,true
150,1,Bot_3,HIT,970200,true
150,1,Bot_3,HIT,4996000,true
150,1,Bot_4,LOGIN,4376100,true
150,1,Bot_4,HIT,81528200,true
150,1,Bot_4,HIT,5105100,true
150,1,Bot_4,HIT,4539800,true
150,1,Bot_4,HIT,17358500,true
150,1,Bot_4,HIT,18559500,true
150,1,Bot_4,HIT,16884000,true
150,1,Bot_4,HIT,13746500,true
150,1,Bot_4,HIT,5791800,true
150,1,Bot_4,HIT,11935700,true
150,1,Bot_4,HIT,372100,true
150,1,Bot_5,LOGIN,2577900,true
150,1,Bot_5,HIT,86925800,true
150,1,Bot_5,HIT,8412800,true
150,1,Bot_5,HIT,5258900,true
150,1,Bot_5,HIT,328500,true
150,1,Bot_5,HIT,9586700,true
150,1,Bot_5,HIT,9733500,true
150,1,Bot_5,HIT,7801200,true
150,1,Bot_5,HIT,16866700,true
150,1,Bot_5,HIT,7468200,true
150,1,Bot_5,HIT,10409000,true
150,1,Bot_6,LOGIN,3650600,true
150,1,Bot_6,HIT,82674200,true
150,1,Bot_6,HIT,6490100,true
150,1,Bot_6,HIT,11476800,true
150,1,Bot_6,HIT,18388100,true
150,1,Bot_6,HIT,589700,true
150,1,Bot_6,HIT,8244700,true
150,1,Bot_6,HIT,448800,true
150,1,Bot_6,HIT,857800,true
150,1,Bot_6,HIT,15891700,true
150,1,Bot_6,HIT,11241400,true
150,1,Bot_7,LOGIN,4328000,true
150,1,Bot_7,HIT,80630200,true
150,1,Bot_7,HIT,6924500,true
150,1,Bot_7,HIT,11270100,true
150,1,Bot_7,HIT,9727200,true
150,1,Bot_7,HIT,10774000,true
150,1,Bot_7,HIT,7710200,true
150,1,Bot_7,HIT,15769700,true
150,1,Bot_7,HIT,7186000,true
150,1,Bot_7,HIT,10888300,true
150,1,Bot_7,HIT,5817000,true
150,1,Bot_8,LOGIN,4203800,true
150,1,Bot_8,HIT,82894900,true
150,1,Bot_8,HIT,4827500,true
150,1,Bot_8,HIT,5023500,true
150,1,Bot_8,HIT,8773900,true
150,1,Bot_8,HIT,9504900,true
150,1,Bot_8,HIT,16722100,true
150,1,Bot_8,HIT,8946200,true
150,1,Bot_8,HIT,16141200,true
150,1,Bot_8,HIT,6024200,true
150,1,Bot_8,HIT,5425000,true
150,1,Bot_9,LOGIN,4320700,true
150,1,Bot_9,HIT,87131000,true
150,1,Bot_9,HIT,11727000,true
150,1,Bot_9,HIT,16423100,true
150,1,Bot_9,HIT,19783200,true
150,1,Bot_9,HIT,9579500,true
150,1,Bot_9,HIT,7051700,true
150,1,Bot_9,HIT,7755800,true
150,1,Bot_9,HIT,10255600,true
150,1,Bot_9,HIT,11938500,true
150,1,Bot_9,HIT,10409000,true
150,1,Bot_10,LOGIN,4325700,true
150,1,Bot_10,HIT,82219900,true
150,1,Bot_10,HIT,5770300,true
150,1,Bot_10,HIT,11253500,true
150,1,Bot_10,HIT,18532300,true
150,1,Bot_10,HIT,16535900,true
150,1,Bot_10,HIT,16323500,true
150,1,Bot_10,HIT,636500,true
150,1,Bot_10,HIT,5918300,true
150,1,Bot_10,HIT,5679900,true
150,1,Bot_10,HIT,12009400,true
150,1,Bot_11,LOGIN,4463900,true
150,1,Bot_11,HIT,80413400,true
150,1,Bot_11,HIT,3115000,true
150,1,Bot_11,HIT,4785200,true
150,1,Bot_11,HIT,7593600,true
150,1,Bot_11,HIT,20826500,true
150,1,Bot_11,HIT,7823700,true
150,1,Bot_11,HIT,16484500,true
150,1,Bot_11,HIT,13815600,true
150,1,Bot_11,HIT,5655300,true
150,1,Bot_11,HIT,5720500,true
150,1,Bot_12,LOGIN,4624600,true
150,1,Bot_12,HIT,83428200,true
150,1,Bot_12,HIT,12595000,true
150,1,Bot_12,HIT,9413800,true
150,1,Bot_12,HIT,9999100,true
150,1,Bot_12,HIT,16165300,true
150,1,Bot_12,HIT,15945100,true
150,1,Bot_12,HIT,7420300,true
150,1,Bot_12,HIT,6350500,true
150,1,Bot_12,HIT,10409200,true
150,1,Bot_12,HIT,10458000,true
150,1,Bot_13,LOGIN,4948700,true
150,1,Bot_13,HIT,79815300,true
150,1,Bot_13,HIT,7970700,true
150,1,Bot_13,HIT,4960600,true
150,1,Bot_13,HIT,18346200,true
150,1,Bot_13,HIT,9767700,true
150,1,Bot_13,HIT,9397400,true
150,1,Bot_13,HIT,16492900,true
150,1,Bot_13,HIT,7172300,true
150,1,Bot_13,HIT,9642100,true
150,1,Bot_13,HIT,11433100,true
150,1,Bot_14,LOGIN,15340700,true
150,1,Bot_14,HIT,77834000,true
150,1,Bot_14,HIT,11468200,true
150,1,Bot_14,HIT,16101200,true
150,1,Bot_14,HIT,10817700,true
150,1,Bot_14,HIT,16003300,true
150,1,Bot_14,HIT,530000,true
150,1,Bot_14,HIT,15066800,true
150,1,Bot_14,HIT,5482200,true
150,1,Bot_14,HIT,4809600,true
150,1,Bot_14,HIT,6297500,true
150,1,Bot_15,LOGIN,15463400,true
150,1,Bot_15,HIT,71579900,true
150,1,Bot_15,HIT,10569400,true
150,1,Bot_15,HIT,8068200,true
150,1,Bot_15,HIT,18379500,true
150,1,Bot_15,HIT,16135200,true
150,1,Bot_15,HIT,16218000,true
150,1,Bot_15,HIT,13015100,true
150,1,Bot_15,HIT,4726200,true
150,1,Bot_15,HIT,5663300,true
150,1,Bot_15,HIT,5802400,true
150,1,Bot_16,LOGIN,15464100,true
150,1,Bot_16,HIT,76177900,true
150,1,Bot_16,HIT,5123200,true
150,1,Bot_16,HIT,12176500,true
150,1,Bot_16,HIT,550400,true
150,1,Bot_16,HIT,18916800,true
150,1,Bot_16,HIT,17999400,true
150,1,Bot_16,HIT,8926300,true
150,1,Bot_16,HIT,11480700,true
150,1,Bot_16,HIT,5518900,true
150,1,Bot_16,HIT,5965700,true
150,1,Bot_17,LOGIN,15668900,true
150,1,Bot_17,HIT,69455500,true
150,1,Bot_17,HIT,13121000,true
150,1,Bot_17,HIT,16531400,true
150,1,Bot_17,HIT,19844100,true
150,1,Bot_17,HIT,8697000,true
150,1,Bot_17,HIT,15976100,true
150,1,Bot_17,HIT,11556700,true
150,1,Bot_17,HIT,10237900,true
150,1,Bot_17,HIT,5224100,true
150,1,Bot_17,HIT,4460100,true
150,1,Bot_18,LOGIN,15312100,true
150,1,Bot_18,HIT,70447000,true
150,1,Bot_18,HIT,7766500,true
150,1,Bot_18,HIT,516800,true
150,1,Bot_18,HIT,10752300,true
150,1,Bot_18,HIT,9743600,true
150,1,Bot_18,HIT,8648500,true
150,1,Bot_18,HIT,16294400,true
150,1,Bot_18,HIT,8349800,true
150,1,Bot_18,HIT,11647700,true
150,1,Bot_18,HIT,10173000,true
150,1,Bot_19,LOGIN,15028700,true
150,1,Bot_19,HIT,76838100,true
150,1,Bot_19,HIT,11472400,true
150,1,Bot_19,HIT,16348700,true
150,1,Bot_19,HIT,10811000,true
150,1,Bot_19,HIT,16021700,true
150,1,Bot_19,HIT,16033900,true
150,1,Bot_19,HIT,12390400,true
150,1,Bot_19,HIT,10436200,true
150,1,Bot_19,HIT,4200800,true
150,1,Bot_19,HIT,5301300,true
150,1,Bot_20,LOGIN,14421700,true
150,1,Bot_20,HIT,75305600,true
150,1,Bot_20,HIT,3823300,true
150,1,Bot_20,HIT,9766900,true
150,1,Bot_20,HIT,523100,true
150,1,Bot_20,HIT,9736800,true
150,1,Bot_20,HIT,10102500,true
150,1,Bot_20,HIT,17977700,true
150,1,Bot_20,HIT,15996000,true
150,1,Bot_20,HIT,10777000,true
150,1,Bot_20,HIT,10983800,true
150,1,Bot_21,LOGIN,15530100,true
150,1,Bot_21,HIT,76976200,true
150,1,Bot_21,HIT,5751900,true
150,1,Bot_21,HIT,5573800,true
150,1,Bot_21,HIT,17720000,true
150,1,Bot_21,HIT,343300,true
150,1,Bot_21,HIT,7865600,true
150,1,Bot_21,HIT,9704300,true
150,1,Bot_21,HIT,16593000,true
150,1,Bot_21,HIT,11385900,true
150,1,Bot_21,HIT,1357200,true
150,1,Bot_22,LOGIN,15169600,true
150,1,Bot_22,HIT,69477400,true
150,1,Bot_22,HIT,4575400,true
150,1,Bot_22,HIT,4951800,true
150,1,Bot_22,HIT,8117900,true
150,1,Bot_22,HIT,10111900,true
150,1,Bot_22,HIT,8901100,true
150,1,Bot_22,HIT,8714200,true
150,1,Bot_22,HIT,15821300,true
150,1,Bot_22,HIT,11609700,true
150,1,Bot_22,HIT,633200,true
150,1,Bot_23,LOGIN,15277300,true
150,1,Bot_23,HIT,75997000,true
150,1,Bot_23,HIT,10168500,true
150,1,Bot_23,HIT,16513100,true
150,1,Bot_23,HIT,10972400,true
150,1,Bot_23,HIT,252500,true
150,1,Bot_23,HIT,9044000,true
150,1,Bot_23,HIT,8204100,true
150,1,Bot_23,HIT,7859500,true
150,1,Bot_23,HIT,11415200,true
150,1,Bot_23,HIT,12248700,true
150,1,Bot_24,LOGIN,13869100,true
150,1,Bot_24,HIT,74383900,true
150,1,Bot_24,HIT,8146500,true
150,1,Bot_24,HIT,12285900,true
150,1,Bot_24,HIT,20516200,true
150,1,Bot_24,HIT,7685500,true
150,1,Bot_24,HIT,478800,true
150,1,Bot_24,HIT,7808800,true
150,1,Bot_24,HIT,15341800,true
150,1,Bot_24,HIT,10499200,true
150,1,Bot_24,HIT,5898200,true
150,1,Bot_25,LOGIN,13172700,true
150,1,Bot_25,HIT,72383100,true
150,1,Bot_25,HIT,7199600,true
150,1,Bot_25,HIT,4601800,true
150,1,Bot_25,HIT,18271200,true
150,1,Bot_25,HIT,9591900,true
150,1,Bot_25,HIT,742300,true
150,1,Bot_25,HIT,9726200,true
150,1,Bot_25,HIT,9247500,true
150,1,Bot_25,HIT,11807100,true
150,1,Bot_25,HIT,5125400,true
150,1,Bot_26,LOGIN,12956200,true
150,1,Bot_26,HIT,71535200,true
150,1,Bot_26,HIT,5062500,true
150,1,Bot_26,HIT,8913600,true
150,1,Bot_26,HIT,18134900,true
150,1,Bot_26,HIT,9311900,true
150,1,Bot_26,HIT,16367400,true
150,1,Bot_26,HIT,16117900,true
150,1,Bot_26,HIT,10853700,true
150,1,Bot_26,HIT,10806900,true
150,1,Bot_26,HIT,10590500,true
150,1,Bot_27,LOGIN,13494000,true
150,1,Bot_27,HIT,70884000,true
150,1,Bot_27,HIT,1977700,true
150,1,Bot_27,HIT,2532400,true
150,1,Bot_27,HIT,6320100,true
