ConfiguracionClientes,Repeticion,ID_Hilo,TipoOperacion,TiempoRespuesta (Nano Sec),Exitoso
100,1,Bot_0,LOGIN,1656800,true
100,1,Bot_0,HIT,116875700,true
100,1,Bot_0,HIT,6975500,true
100,1,Bot_0,HIT,4617000,true
100,1,Bot_0,HIT,4096000,true
100,1,Bot_0,HIT,4806600,true
100,1,Bot_0,HIT,2132900,true
100,1,Bot_0,HIT,2276300,true
100,1,Bot_0,HIT,2822100,true
100,1,Bot_0,HIT,3426400,true
100,1,Bot_0,HIT,3107700,true
100,1,Bot_1,LOGIN,2627100,true
100,1,Bot_1,HIT,126319600,true
100,1,Bot_1,HIT,10398000,true
100,1,Bot_1,HIT,4627400,true
100,1,Bot_1,HIT,3322900,true
100,1,Bot_1,HIT,2823000,true
100,1,Bot_1,HIT,2378100,true
100,1,Bot_1,HIT,1738000,true
100,1,Bot_1,HIT,3791100,true
100,1,Bot_1,HIT,2430600,true
100,1,Bot_1,HIT,442200,true
100,1,Bot_2,LOGIN,3935900,true
100,1,Bot_2,HIT,117950600,true
100,1,Bot_2,HIT,8785700,true
100,1,Bot_2,HIT,9183700,true
100,1,Bot_2,HIT,2685200,true
100,1,Bot_2,HIT,3571200,true
100,1,Bot_2,HIT,2958000,true
100,1,Bot_2,HIT,2352300,true
100,1,Bot_2,HIT,3138800,true
100,1,Bot_2,HIT,2487800,true
100,1,Bot_2,HIT,842400,true
100,1,Bot_3,LOGIN,2600800,true
100,1,Bot_3,HIT,125829700,true
100,1,Bot_3,HIT,9840400,true
100,1,Bot_3,HIT,426100,true
100,1,Bot_3,HIT,7155100,true
100,1,Bot_3,HIT,1922200,true
100,1,Bot_3,HIT,2427400,true
100,1,Bot_3,HIT,3905700,true
100,1,Bot_3,HIT,2061500,true
100,1,Bot_3,HIT,4264500,true
100,1,Bot_3,HIT,2218000,true
100,1,Bot_4,LOGIN,2137700,true
100,1,Bot_4,HIT,121568200,true
100,1,Bot_4,HIT,7387600,true
100,1,Bot_4,HIT,5039400,true
100,1,Bot_4,HIT,7110200,true
100,1,Bot_4,HIT,3801600,true
100,1,Bot_4,HIT,1685100,true
100,1,Bot_4,HIT,2393600,true
100,1,Bot_4,HIT,3834600,true
100,1,Bot_4,HIT,3958000,true
100,1,Bot_4,HIT,2835400,true
100,1,Bot_5,LOGIN,2802100,true
100,1,Bot_5,HIT,129169100,true
100,1,Bot_5,HIT,5109200,true
100,1,Bot_5,HIT,4815500,true
100,1,Bot_5,HIT,3611400,true
100,1,Bot_5,HIT,3014600,true
100,1,Bot_5,HIT,2612700,true
100,1,Bot_5,HIT,2788000,true
100,1,Bot_5,HIT,2855200,true
100,1,Bot_5,HIT,3571300,true
100,1,Bot_5,HIT,3980000,true
100,1,Bot_6,LOGIN,5986700,true
100,1,Bot_6,HIT,124372900,true
100,1,Bot_6,HIT,5394700,true
100,1,Bot_6,HIT,9019900,true
100,1,Bot_6,HIT,5911300,true
100,1,Bot_6,HIT,3671800,true
100,1,Bot_6,HIT,194100,true
100,1,Bot_6,HIT,3163100,true
100,1,Bot_6,HIT,3986100,true
100,1,Bot_6,HIT,1749000,true
100,1,Bot_6,HIT,3335400,true
100,1,Bot_7,LOGIN,5704800,true
100,1,Bot_7,HIT,123029900,true
100,1,Bot_7,HIT,5263500,true
100,1,Bot_7,HIT,9113100,true
100,1,Bot_7,HIT,3076100,true
100,1,Bot_7,HIT,3555000,true
100,1,Bot_7,HIT,4446700,true
100,1,Bot_7,HIT,4340400,true
100,1,Bot_7,HIT,3193700,true
100,1,Bot_7,HIT,3050400,true
100,1,Bot_7,HIT,3126200,true
100,1,Bot_8,LOGIN,4425700,true
100,1,Bot_8,HIT,115740800,true
100,1,Bot_8,HIT,8427300,true
100,1,Bot_8,HIT,9202700,true
100,1,Bot_8,HIT,2895400,true
100,1,Bot_8,HIT,5438300,true
100,1,Bot_8,HIT,688800,true
100,1,Bot_8,HIT,2066700,true
100,1,Bot_8,HIT,3755300,true
100,1,Bot_8,HIT,2344300,true
100,1,Bot_8,HIT,1560300,true
100,1,Bot_9,LOGIN,3864400,true
100,1,Bot_9,HIT,117140400,true
100,1,Bot_9,HIT,7054600,true
100,1,Bot_9,HIT,3836800,true
100,1,Bot_9,HIT,695200,true
100,1,Bot_9,HIT,3395700,true
100,1,Bot_9,HIT,4747900,true
100,1,Bot_9,HIT,1896500,true
100,1,Bot_9,HIT,1827900,true
100,1,Bot_9,HIT,4586600,true
100,1,Bot_9,HIT,1817000,true
100,1,Bot_10,LOGIN,38732500,true
100,1,Bot_10,HIT,88470900,true
100,1,Bot_10,HIT,5620600,true
100,1,Bot_10,HIT,4884900,true
100,1,Bot_10,HIT,3724400,true
100,1,Bot_10,HIT,4463500,true
100,1,Bot_10,HIT,2596000,true
100,1,Bot_10,HIT,538700,true
100,1,Bot_10,HIT,4524100,true
100,1,Bot_10,HIT,1944400,true
100,1,Bot_10,HIT,3212700,true
100,1,Bot_11,LOGIN,4019100,true
100,1,Bot_11,HIT,115486900,true
100,1,Bot_11,HIT,1924200,true
100,1,Bot_11,HIT,6015000,true
100,1,Bot_11,HIT,4770400,true
100,1,Bot_11,HIT,4940700,true
100,1,Bot_11,HIT,3697900,true
100,1,Bot_11,HIT,1781300,true
100,1,Bot_11,HIT,2248400,true
100,1,Bot_11,HIT,3218400,true
100,1,Bot_11,HIT,494400,true
100,1,Bot_12,LOGIN,3044600,true
100,1,Bot_12,HIT,115379600,true
100,1,Bot_12,HIT,3341600,true
100,1,Bot_12,HIT,508500,true
100,1,Bot_12,HIT,5851400,true
100,1,Bot_12,HIT,5409100,true
100,1,Bot_12,HIT,3388800,true
100,1,Bot_12,HIT,3260500,true
100,1,Bot_12,HIT,4292700,true
100,1,Bot_12,HIT,3587700,true
100,1,Bot_12,HIT,3435500,true
