ConfiguracionClientes,Repeticion,ID_Hilo,TipoOperacion,TiempoRespuesta (Nano Sec),Exitoso
200,1,Bot_0,LOGIN,2574400,true
200,1,Bot_0,HIT,112628300,true
200,1,Bot_0,HIT,16790100,true
200,1,Bot_0,HIT,595500,true
200,1,Bot_0,HIT,23436000,true
200,1,Bot_0,HIT,22669100,true
200,1,Bot_0,HIT,18652500,true
200,1,Bot_0,HIT,14900400,true
200,1,Bot_0,HIT,6829700,true
200,1,Bot_0,HIT,16429700,true
200,1,Bot_0,HIT,10213900,true
200,1,Bot_1,LOGIN,2126600,true
200,1,Bot_1,HIT,107817600,true
200,1,Bot_1,HIT,12822600,true
200,1,Bot_1,HIT,22983900,true
200,1,Bot_1,HIT,12343900,true
200,1,Bot_1,HIT,11582600,true
200,1,Bot_1,HIT,19533700,true
200,1,Bot_1,HIT,7862500,true
200,1,Bot_1,HIT,7623400,true
200,1,Bot_1,HIT,15407400,true
200,1,Bot_1,HIT,8848500,true
200,1,Bot_2,LOGIN,2801000,true
200,1,Bot_2,HIT,107887100,true
200,1,Bot_2,HIT,12647700,true
200,1,Bot_2,HIT,11998400,true
200,1,Bot_2,HIT,12802300,true
200,1,Bot_2,HIT,22452400,true
200,1,Bot_2,HIT,19296300,true
200,1,Bot_2,HIT,15262300,true
200,1,Bot_2,HIT,6634100,true
200,1,Bot_2,HIT,8256200,true
200,1,Bot_2,HIT,14840700,true
200,1,Bot_3,LOGIN,3115700,true
200,1,Bot_3,HIT,108840500,true
200,1,Bot_3,HIT,14649200,true
200,1,Bot_3,HIT,722900,true
200,1,Bot_3,HIT,11085400,true
200,1,Bot_3,HIT,23857900,true
200,1,Bot_3,HIT,11307100,true
200,1,Bot_3,HIT,9646900,true
200,1,Bot_3,HIT,15990900,true
200,1,Bot_3,HIT,6646600,true
200,1,Bot_3,HIT,7070600,true
200,1,Bot_4,LOGIN,3906300,true
200,1,Bot_4,HIT,116601700,true
200,1,Bot_4,HIT,19238600,true
200,1,Bot_4,HIT,747200,true
200,1,Bot_4,HIT,13794900,true
200,1,Bot_4,HIT,12513400,true
200,1,Bot_4,HIT,20021300,true
200,1,Bot_4,HIT,8623100,true
200,1,Bot_4,HIT,8924700,true
200,1,Bot_4,HIT,6877400,true
200,1,Bot_4,HIT,14785500,true
200,1,Bot_5,LOGIN,3042800,true
200,1,Bot_5,HIT,120420800,true
200,1,Bot_5,HIT,760000,true
200,1,Bot_5,HIT,11783700,true
200,1,Bot_5,HIT,11639100,true
200,1,Bot_5,HIT,12857800,true
200,1,Bot_5,HIT,21829900,true
200,1,Bot_5,HIT,17033700,true
200,1,Bot_5,HIT,387500,true
200,1,Bot_5,HIT,14813200,true
200,1,Bot_5,HIT,7140000,true
200,1,Bot_6,LOGIN,3773100,true
200,1,Bot_6,HIT,111129300,true
200,1,Bot_6,HIT,8608400,true
200,1,Bot_6,HIT,23401000,true
200,1,Bot_6,HIT,12300500,true
200,1,Bot_6,HIT,12514900,true
200,1,Bot_6,HIT,19408600,true
200,1,Bot_6,HIT,16069400,true
200,1,Bot_6,HIT,7187600,true
200,1,Bot_6,HIT,14667500,true
200,1,Bot_6,HIT,12991700,true
200,1,Bot_7,LOGIN,4606300,true
200,1,Bot_7,HIT,117855400,true
200,1,Bot_7,HIT,8739600,true
200,1,Bot_7,HIT,12006800,true
200,1,Bot_7,HIT,24345600,true
200,1,Bot_7,HIT,21821700,true
200,1,Bot_7,HIT,9543800,true
200,1,Bot_7,HIT,14819700,true
200,1,Bot_7,HIT,7717300,true
200,1,Bot_7,HIT,16572900,true
200,1,Bot_7,HIT,10141200,true
200,1,Bot_8,LOGIN,4435700,true
200,1,Bot_8,HIT,118354600,true
200,1,Bot_8,HIT,20979800,true
200,1,Bot_8,HIT,12358100,true
200,1,Bot_8,HIT,11915300,true
200,1,Bot_8,HIT,21646500,true
200,1,Bot_8,HIT,9674000,true
200,1,Bot_8,HIT,15017300,true
200,1,Bot_8,HIT,7790200,true
200,1,Bot_8,HIT,7659800,true
200,1,Bot_8,HIT,7265000,true
200,1,Bot_9,LOGIN,4003400,true
200,1,Bot_9,HIT,112547400,true
200,1,Bot_9,HIT,18420300,true
200,1,Bot_9,HIT,24324900,true
200,1,Bot_9,HIT,22987000,true
200,1,Bot_9,HIT,10713300,true
200,1,Bot_9,HIT,7714200,true
200,1,Bot_9,HIT,15264800,true
200,1,Bot_9,HIT,7309000,true
200,1,Bot_9,HIT,8163900,true
200,1,Bot_9,HIT,6310700,true
200,1,Bot_10,LOGIN,4283500,true
200,1,Bot_10,HIT,115949000,true
200,1,Bot_10,HIT,18897300,true
200,1,Bot_10,HIT,11994400,true
200,1,Bot_10,HIT,24487000,true
200,1,Bot_10,HIT,712300,true
200,1,Bot_10,HIT,9977800,true
200,1,Bot_10,HIT,7913500,true
200,1,Bot_10,HIT,14297100,true
200,1,Bot_10,HIT,6256000,true
200,1,Bot_10,HIT,8524100,true
200,1,Bot_11,LOGIN,13433400,true
200,1,Bot_11,HIT,95939000,true
200,1,Bot_11,HIT,15165200,true
200,1,Bot_11,HIT,22879500,true
200,1,Bot_11,HIT,12540700,true
200,1,Bot_11,HIT,21713900,true
200,1,Bot_11,HIT,786700,true
200,1,Bot_11,HIT,635200,true
200,1,Bot_11,HIT,16096000,true
200,1,Bot_11,HIT,13982100,true
200,1,Bot_11,HIT,7712800,true
200,1,Bot_12,LOGIN,4091300,true
200,1,Bot_12,HIT,104935000,true
200,1,Bot_12,HIT,7883000,true
200,1,Bot_12,HIT,11565000,true
200,1,Bot_12,HIT,12464500,true
200,1,Bot_12,HIT,24050300,true
200,1,Bot_12,HIT,10570400,true
200,1,Bot_12,HIT,16976500,true
200,1,Bot_12,HIT,7706700,true
200,1,Bot_12,HIT,7359700,true
200,1,Bot_12,HIT,937900,true
200,1,Bot_13,LOGIN,13818100,true
200,1,Bot_13,HIT,100874600,true
